nagrajenec,država
Jacobus Henricus van 't Hoff,Netherlands
Sully Prudhomme,France
Henri Dunant,Switzerland
Frédéric Passy,France
Wilhelm Conrad Röntgen,Germany
Emil von Behring,Germany
Emil Fischer,Germany
Theodor Mommsen,Germany
Élie Ducommun,Switzerland
Charles-Albert Gobat,Switzerland
Hendrik Antoon Lorentz,Netherlands
Pieter Zeeman,Netherlands
Sir Ronald Ross,United Kingdom
Svante Arrhenius,Sweden
Bjørnstjerne Martinius Bjørnson,Norway
Sir Randal Cremer,United Kingdom
Henri Becquerel,France
Marie Curie,France
Pierre Curie,France
Niels Ryberg Finsen,Denmark
Sir William Ramsay,United Kingdom
José Echegaray y Eizaguirre,Spain
Frédéric Mistral,France
Institute of International Law,(founded 1873)
Lord Rayleigh,United Kingdom
Ivan Pavlov,Russia
Adolf von Baeyer,Germany
Henryk Sienkiewicz,Poland
"Bertha, baroness von Suttner",Austria
Philipp Lenard,Germany
Robert Koch,Germany
Henri Moissan,France
Giosuè Carducci,Italy
Theodore Roosevelt,United States
Sir J.J. Thomson,United Kingdom
Camillo Golgi,Italy
Santiago Ramón y Cajal,Spain
Eduard Buchner,Germany
Rudyard Kipling,United Kingdom
Ernesto Teodoro Moneta,Italy
Louis Renault,France
A.A. Michelson,United States
Alphonse Laveran,France
Ernest Rutherford,United Kingdom
Rudolf Christoph Eucken,Germany
Klas Pontus Arnoldson,Sweden
Fredrik Bajer,Denmark
Gabriel Lippmann,France
Paul Ehrlich,Germany
Élie Metchnikoff,Russia
Wilhelm Ostwald,Germany
Selma Lagerlöf,Sweden
Auguste-Marie-François Beernaert,Belgium
Paul-H.-B. d'Estournelles de Constant,France
Ferdinand Braun,Germany
Guglielmo Marconi,Italy
Emil Theodor Kocher,Switzerland
Otto Wallach,Germany
Paul Johann Ludwig von Heyse,Germany
International Peace Bureau,(founded 1891)
Johannes Diederik van der Waals,Netherlands
Albrecht Kossel,Germany
Maurice Maeterlinck,Belgium
Tobias Michael Carel Asser,Netherlands
Alfred Hermann Fried,Austria
Wilhelm Wien,Germany
Allvar Gullstrand,Sweden
Victor Grignard,France
Paul Sabatier,France
Gerhart Hauptmann,Germany
Elihu Root,United States
Nils Dalén,Sweden
Alexis Carrel,France
Alfred Werner,Switzerland
Rabindranath Tagore,India
Henri-Marie Lafontaine,Belgium
Heike Kamerlingh Onnes,Netherlands
Charles Richet,France
Theodore William Richards,United States
Max von Laue,Germany
Robert Bárány,Austria
Richard Willstätter,Germany
Romain Rolland,France
Sir Lawrence Bragg,United Kingdom
Sir William Bragg,United Kingdom
Verner von Heidenstam,Sweden
Karl Adolph Gjellerup,Denmark
Henrik Pontoppidan,Denmark
International Committee of the Red Cross,(founded 1863)
