nagrajenec,spol
John J. Hopfield,male
Geoffrey Hinton,male
David Baker,male
Demis Hassabis,male
John Jumper,male
Victor Ambros,male
Gary Ruvkun,male
Han Kang,male
Daron Acemoglu,male
Simon Johnson,male
James A. Robinson,male
Pierre Agostini,male
Ferenc Krausz,male
Anne L'Huillier,female
Louis Brus,male
Aleksey Yekimov,male
Katalin Kariko,female
Drew Weissman,male
Jon Fosse,male
Narges Mohammadi,female
Claudia Goldin,female
Alain Aspect,male
John Clauser,male
Anton Zeilinger,male
Carolyn Bertozzi,female
Morten Meldal,male
Svante Paabo,male
Annie Ernaux,female
Ben Bernanke,male
Douglas Diamond,male
Philip Dybvig,male
Klaus Hasselmann,male
Giorgio Parisi,male
Benjamin List,male
David W.C. MacMillan,male
David Julius,male
Maria Ressa,female
Dmitry Muratov,male
David Card,male
Joshua D. Angrist,male
Guido W. Imbens,male
Roger Penrose,male
Reinhard Genzel,male
Andrea Ghez,female
Emmanuelle Charpentier,female
Jennifer A. Doudna,female
Harvey J. Alter,male
Michael Houghton,male
Charles M. Rice,male
Louise Gluck,female
Paul R. Milgrom,male
Robert B. Wilson,male
James Peebles,male
Michel Mayor,male
Didier Queloz,male
John B. Goodenough,male
Akira Yoshino,male
William G. Kaelin Jr,male
Sir Peter J. Ratcliffe,male
Gregg L. Semenza,male
Peter Handke,male
Esther Duflo,female
Michael Kremer,male
Arthur Ashkin,male
Gerard Mourou,male
Donna Strickland,female
Frances H. Arnold,female
George P. Smith,male
Sir Gregory P. Winter,male
James P. Allison,male
Tasuku Honjo,male
Olga Tokarczuk,female
Denis Mukwege,male
Nadia Murad,female
William D. Nordhaus,male
Paul M. Romer,male
Rainer Weiss,male
Barry C. Barish,male
Kip S. Thorne,male
Jacques Dubochet,male
Joachim Frank,male
Richard Henderson,male
Jeffrey C. Hall,male
Michael Rosbash,male
Michael W. Young,male
Kazuo Ishiguro,male
Richard H. Thaler,male
David J. Thouless,male
Jean-Pierre Sauvage,male
Bernard L. Feringa,male
Yoshinori Ohsumi,male
Bob Dylan,male
Juan Manuel Santos,male
Oliver Hart,male
Bengt Holmstrom,male
Takaaki Kajita,male
Arthur B. McDonald,male
Tomas Lindahl,male
Paul Modrich,male
Aziz Sancar,male
William C. Campbell,male
Satoshi Omura,male
Tu Youyou,female
Svetlana Alexievich,female
Angus Deaton,male
Isamu Akasaki,male
Hiroshi Amano,male
Shuji Nakamura,male
Eric Betzig,male
Stefan W. Hell,male
William E. Moerner,male
Edvard I. Moser,male
Patrick Modiano,male
Kailash Satyarthi,female
Jean Tirole,male
Peter Higgs,male
Martin Karplus,male
Michael Levitt,male
Arieh Warshel,male
James E. Rothman,male
Randy W. Schekman,male
Thomas C. Sudhof,male
Alice Munro,female
Eugene F. Fama,male
Lars Peter Hansen,male
Robert J. Shiller,male
Serge Haroche,male
David J. Wineland,male
Robert J. Lefkowitz,male
Brian Kobilka,male
Sir John B. Gurdon,male
Shinya Yamanaka,male
Mo Yan,male
Alvin E. Roth,male
Lloyd S. Shapley,male
Saul Perlmutter,male
Brian P. Schmidt,male
Adam G. Riess,male
Dan Shechtman,male
Bruce A. Beutler,male
Jules A. Hoffmann,male
Ralph M. Steinman,male
Tomas Transtromer,male
Ellen Johnson Sirleaf,female
Thomas J. Sargent,male
Christopher A. Sims,male
Andre Geim,male
Konstantin Novoselov,male
Richard F. Heck,male
Akira Suzuki,male
Robert G. Edwards,male
Mario Vargas Llosa,male
Liu Xiaobo,male
Peter A. Diamond,male
Dale T. Mortensen,male
Christopher A. Pissarides,male
Charles K. Kao,male
Willard S. Boyle,male
George E. Smith,male
Thomas A. Steitz,male
Ada E. Yonath,female
Elizabeth H. Blackburn,female
Carol W. Greider,female
Jack W. Szostak,male
Herta Muller,female
Barack H. Obama,male
Elinor Ostrom,female
Oliver E. Williamson,male
Yoichiro Nambu,male
Makoto Kobayashi,male
Toshihide Maskawa,male
Osamu Shimomura,male
Martin Chalfie,male
Roger Y. Tsien,male
Harald zur Hausen,male
Luc Montagnier,male
Jean-Marie Gustave Le Clezio,male
Martti Ahtisaari,male
Paul Krugman,male
Albert Fert,male
Peter Grunberg,male
Gerhard Ertl,male
Mario R. Capecchi,male
