nagrajenec,področje,leto
John J. Hopfield,physics,2024
Geoffrey Hinton,physics,2024
David Baker,chemistry,2024
Demis Hassabis,chemistry,2024
John Jumper,chemistry,2024
Victor Ambros,medicine,2024
Gary Ruvkun,medicine,2024
Han Kang,literature,2024
Nihon Hidankyo,peace,2024
Daron Acemoglu,economic-sciences,2024
Simon Johnson,economic-sciences,2024
James A. Robinson,economic-sciences,2024
Pierre Agostini,physics,2023
Ferenc Krausz,physics,2023
Anne L'Huillier,physics,2023
Moungi Bawendi,chemistry,2023
Louis Brus,chemistry,2023
Aleksey Yekimov,chemistry,2023
Katalin Kariko,medicine,2023
Drew Weissman,medicine,2023
Jon Fosse,literature,2023
Narges Mohammadi,peace,2023
Claudia Goldin,economic-sciences,2023
Alain Aspect,physics,2022
John Clauser,physics,2022
Anton Zeilinger,physics,2022
Carolyn Bertozzi,chemistry,2022
Morten Meldal,chemistry,2022
K. Barry Sharpless,chemistry,2022
K. Barry Sharpless,chemistry,2001
Svante Paabo,medicine,2022
Annie Ernaux,literature,2022
Ales Bialiatski,peace,2022
Memorial,peace,2022
Center for Civil Liberties,peace,2022
Ben Bernanke,economic-sciences,2022
Douglas Diamond,economic-sciences,2022
Philip Dybvig,economic-sciences,2022
Syukuro Manabe,physics,2021
Klaus Hasselmann,physics,2021
Giorgio Parisi,physics,2021
Benjamin List,chemistry,2021
David W.C. MacMillan,chemistry,2021
David Julius,medicine,2021
Ardem Patapoutian,medicine,2021
Abdulrazak Gurnah,literature,2021
Maria Ressa,peace,2021
Dmitry Muratov,peace,2021
David Card,economic-sciences,2021
Joshua D. Angrist,economic-sciences,2021
Guido W. Imbens,economic-sciences,2021
Roger Penrose,physics,2020
Reinhard Genzel,physics,2020
Andrea Ghez,physics,2020
Emmanuelle Charpentier,chemistry,2020
Jennifer A. Doudna,chemistry,2020
Harvey J. Alter,medicine,2020
Michael Houghton,medicine,2020
Charles M. Rice,medicine,2020
Louise Gluck,literature,2020
World Food Programme,peace,2020
Paul R. Milgrom,economic-sciences,2020
Robert B. Wilson,economic-sciences,2020
James Peebles,physics,2019
Michel Mayor,physics,2019
Didier Queloz,physics,2019
John B. Goodenough,chemistry,2019
M. Stanley Whittingham,chemistry,2019
Akira Yoshino,chemistry,2019
William G. Kaelin Jr,medicine,2019
Sir Peter J. Ratcliffe,medicine,2019
Gregg L. Semenza,medicine,2019
Peter Handke,literature,2019
Abiy Ahmed Ali,peace,2019
Abhijit Banerjee,economic-sciences,2019
Esther Duflo,economic-sciences,2019
Michael Kremer,economic-sciences,2019
Arthur Ashkin,physics,2018
Gerard Mourou,physics,2018
Donna Strickland,physics,2018
Frances H. Arnold,chemistry,2018
George P. Smith,chemistry,2018
Sir Gregory P. Winter,chemistry,2018
James P. Allison,medicine,2018
Tasuku Honjo,medicine,2018
Olga Tokarczuk,literature,2018
Denis Mukwege,peace,2018
Nadia Murad,peace,2018
William D. Nordhaus,economic-sciences,2018
Paul M. Romer,economic-sciences,2018
Rainer Weiss,physics,2017
Barry C. Barish,physics,2017
Kip S. Thorne,physics,2017
Jacques Dubochet,chemistry,2017
Joachim Frank,chemistry,2017
Richard Henderson,chemistry,2017
Jeffrey C. Hall,medicine,2017
Michael Rosbash,medicine,2017
Michael W. Young,medicine,2017
Kazuo Ishiguro,literature,2017
International Campaign to Abolish Nuclear Weapons,peace,2017
Richard H. Thaler,economic-sciences,2017
David J. Thouless,physics,2016
F. Duncan M. Haldane,physics,2016
J. Michael Kosterlitz,physics,2016
Jean-Pierre Sauvage,chemistry,2016
